Date,LogRend_SIP500,LogRend_USD/MXN
1/3/2018,0.006378433,-0.007531825
1/4/2018,0.004020543,-0.002283112
1/5/2018,0.007009146,-0.006911018
1/8/2018,0.001660964,0.000944574
1/9/2018,0.001302084,0.002734923
1/10/2018,-0.001112846,0.000951503
1/11/2018,0.007009026,-0.002475694
1/12/2018,0.006726926,-0.009536124
1/16/2018,-0.003530713,-0.014847259
1/17/2018,0.009371006,-0.001902903
1/18/2018,-0.001617697,-0.006967133
1/19/2018,0.004375648,0.001808236
1/22/2018,0.008034364,0.004674219
1/23/2018,0.002172005,-0.00184484
1/24/2018,-0.000560133,-0.00743221
1/25/2018,0.000602439,0.004008648
1/26/2018,0.011771638,-0.007171493
1/29/2018,-0.006754736,0.006543626
1/30/2018,-0.010958643,0.009002387
1/31/2018,0.000488866,-0.009577902
2/1/2018,-0.000648298,-0.013764497
2/2/2018,-0.021436681,0.013199432
2/5/2018,-0.041842541,0.012801143
2/6/2018,0.017290573,-0.010397747
2/7/2018,-0.005014138,0.008379892
2/8/2018,-0.038259052,0.004839728
2/9/2018,0.014825645,-0.009553168
2/12/2018,0.013818666,-0.005450911
2/13/2018,0.002609522,0.002482367
2/14/2018,0.01331344,-0.004259325
2/15/2018,0.011996862,-0.002826914
2/16/2018,0.0003734,0.000128642
2/20/2018,-0.005858517,0.010658924
2/21/2018,-0.005511664,0.007176131
2/22/2018,0.000973077,-0.012510153
2/23/2018,0.015901278,-0.004514676
2/26/2018,0.011688439,0.007729171
2/27/2018,-0.012788311,0.008812479
2/28/2018,-0.011157806,-0.000207177
3/1/2018,-0.013413966,0.000948812
3/2/2018,0.005058785,-0.001841125
3/5/2018,0.010971618,-0.00125868
3/6/2018,0.002635383,0.003470214
3/7/2018,-0.000483992,-0.008077724
3/8/2018,0.004453148,-0.003927815
3/9/2018,0.017229547,-0.001289431
3/12/2018,-0.001274797,-0.001350339
3/13/2018,-0.00638391,0.001274046
3/14/2018,-0.00574097,-0.001457037
3/15/2018,-0.000782236,0.00616213
3/16/2018,0.001701998,-0.00067979
3/19/2018,-0.014306041,0.001214782
3/20/2018,0.001480709,0.002489256
3/21/2018,-0.001845692,-0.01615366
3/22/2018,-0.025484887,0.012414282
3/23/2018,-0.021189807,-0.008812507
3/26/2018,0.026795041,-0.009900754
3/27/2018,-0.017427286,0.002875657
3/28/2018,-0.002920919,-0.003213418
3/29/2018,0.013675777,-0.008405195
4/2/2018,-0.022590682,0.00314893
4/3/2018,0.012535961,-0.00012287
4/4/2018,0.011500102,0
4/5/2018,0.006839421,-0.006842109
4/6/2018,-0.022164067,0.006564392
4/9/2018,0.003330995,0.004667894
4/10/2018,0.016588599,0.001515481
4/11/2018,-0.005540686,-0.005064292
4/12/2018,0.008216899,-0.002470348
4/13/2018,-0.0028908,-0.001231955
4/16/2018,0.008076337,-0.006524374
4/17/2018,0.010605072,-0.00339191
4/18/2018,0.00083102,0.001804807
4/19/2018,-0.005742582,0.002850332
4/20/2018,-0.008573177,0.02032119
4/23/2018,5.62E-05,0.003958652
4/24/2018,-0.013470888,0.021717046
4/25/2018,0.001835374,-0.006098346
4/26/2018,0.010380144,0.001851932
4/27/2018,0.001113005,-0.004690879
4/30/2018,-0.008221193,-0.006487557
5/1/2018,0.002545802,0.003219609
5/2/2018,-0.007231951,0.01267001
5/3/2018,-0.002256218,0.008168084
5/4/2018,0.01272981,-0.002354635
5/7/2018,0.003451981,0.010892897
5/8/2018,-0.000265677,0.008821291
5/9/2018,0.009635648,0.006337573
5/10/2018,0.009327012,0.000951046
5/11/2018,0.001706139,-0.017024353
5/14/2018,0.0008831,0.00546923
5/15/2018,-0.006865655,0.012035374
5/16/2018,0.00405234,0.004729161
5/17/2018,-0.000856239,-0.005444553
5/18/2018,-0.002635665,0.009468087
5/21/2018,0.007359605,0.007121957
5/22/2018,-0.003140689,-0.003336396
5/23/2018,0.003243145,-0.003090033
5/24/2018,-0.002025263,-0.006500053
5/25/2018,-0.002360003,-0.003469264
5/29/2018,-0.011631573,0.001003743
5/30/2018,0.012615875,0.012874935
5/31/2018,-0.006903333,-0.003263893
6/1/2018,0.0107908,0.006466954
6/4/2018,0.004469595,0.001953498
6/5/2018,0.000702346,0.006043731
6/6/2018,0.008530901,0.016343028
6/7/2018,-0.000714444,-0.004930263
6/8/2018,0.003121029,0.006096593
6/11/2018,0.001068137,-0.00451115
6/12/2018,0.001741867,0.01152941
6/13/2018,-0.004034255,0.006336382
6/14/2018,0.002468501,-0.00183324
6/15/2018,-0.00101762,0.00888348
6/18/2018,-0.002128391,-0.00750367
6/19/2018,-0.004031518,-0.006457042
6/20/2018,0.00171069,-0.00191422
6/21/2018,-0.006365729,-0.007384435
6/22/2018,0.001860203,-0.00241949
6/25/2018,-0.013819723,-0.013872055
6/26/2018,0.002202151,-0.006244993
6/27/2018,-0.008641586,0.000843137
6/28/2018,0.00615968,0.011585757
6/29/2018,0.000758116,-0.021335216
7/2/2018,0.003063261,0.003289204
7/3/2018,-0.004959629,0.008536665
