IPC_Mexico,USD_MXN
0.03157261,-0.00254253
0.00906874,-0.00235990
-0.00326688,0.00471425
0.00687854,-0.00684297
0.01388900,0.00160871
-0.00456062,0.00457559
0.01303093,-0.00325257
-0.01236339,-0.00124737
-0.00189403,-0.00220540
0.00365097,-0.00061615
-0.02503117,0.00241488
-0.01217081,-0.00120193
0.01389021,-0.00586986
-0.00950535,0.00444826
0.00548356,-0.00140460
0.02295234,-0.00538037
-0.00047910,0.00309844
0.01840137,-0.00109521
-0.01363541,-0.00822897
-0.00567427,0.00182386
0.00306489,0.00129390
0.01341154,-0.00033529
-0.00533715,0.00606564
-0.01045304,-0.00090509
-0.01050549,0.00575030
-0.01374631,-0.00194476
0.00585401,-0.00514090
-0.01193759,0.00057248
-0.02293765,0.00632363
0.00776345,-0.00365621
0.00807640,0.00232817
0.01573106,-0.00571126
0.00127452,-0.00401740
0.00333848,-0.00148671
-0.00244057,0.00526538
0.01518787,-0.00133766
0.01779867,0.00009560
-0.00088073,0.00186249
-0.01297434,-0.00090690
-0.00789917,0.00098325
0.01866435,-0.00083998
0.00228452,0.00526708
0.00453991,0.00494655
-0.01036077,0.01104562
-0.02346197,-0.00337129
-0.00824094,0.00477266
-0.00480804,-0.00023347
0.00596775,-0.00364840
0.01540820,0.00551429
0.01247649,-0.00574867
0.00308912,-0.00180142
0.00874023,-0.00157896
0.00931509,0.00183247
0.01209041,0.01148205
0.00086731,0.00969846
-0.01761720,0.00243299
0.00432343,-0.00510217
-0.00585915,0.01036088
-0.01553326,0.00403273
0.01063316,-0.00622433
0.00425909,-0.00311302
0.00304682,-0.00358271
0.01858750,-0.00302313
0.00659265,0.00807196
0.00839164,0.00702595
-0.00306128,0.00724772
-0.02020052,0.00369423
0.00389487,-0.00288216
-0.00426516,-0.00633369
-0.00734932,0.00117926
0.01590181,-0.00036269
0.00951688,-0.00938543
0.00568608,0.00192070
0.00232755,0.00837130
0.00971770,-0.00126938
0.00119239,0.00280862
0.00798333,0.00784034
0.01008136,-0.00206683
-0.00860853,-0.00143124
0.01245582,-0.00606275
0.02078774,-0.00560757
0.00375440,0.00092923
0.00633647,-0.00104770
-0.00264329,-0.00310384
0.01732852,-0.00274681
0.00986662,-0.00404224
-0.00191998,-0.00207340
-0.01600358,0.00363714
-0.01316610,0.01142347
-0.02066932,0.01124955
0.00620256,-0.01124955
-0.02866454,0.01497137
-0.00221547,-0.00183673
-0.00172672,-0.00112172
-0.04110931,0.00947205
-0.01479499,0.01041336
-0.01474066,-0.01437891
0.03141428,-0.00766354
0.00920734,-0.00171102
-0.00433263,0.00602055
-0.03438873,0.01184503
-0.00871131,-0.00115166
0.02384414,-0.00542150
0.01520636,0.00710419
-0.02432904,0.00212147
-0.00829819,-0.00442480
-0.02068454,0.00442480
-0.00849715,0.00624975
-0.02826912,-0.00545538
-0.04390920,0.00685838
-0.01980593,0.00454626
0.00890444,-0.00367035
0.06510138,-0.00353455
0.00608545,0.00002640
-0.02582181,0.00219401
0.01127730,0.00262657
0.02086652,-0.00640325
0.00177135,0.00684034
0.01945555,-0.00446728
-0.00293382,0.00743433
-0.02574192,-0.00392894
0.00444918,-0.00719931
0.04358953,-0.00410571
0.01255235,-0.00572304
0.04661376,-0.01443003
0.01330388,-0.00212372
-0.04090867,0.01145980
0.02694652,-0.01422295
-0.01093465,-0.00372638
-0.00654948,-0.00009110
-0.00661771,-0.00337512
-0.00773396,0.00855249
-0.03640120,-0.00113308
-0.02140744,-0.00413540
0.00594673,-0.00010927
0.02399074,-0.00665302
0.05089717,-0.00383095
-0.01834682,-0.00085640
0.00086324,0.00046052
0.02084550,0.00128830
0.00716136,0.00027587
-0.00844159,0.00558333
0.01126546,-0.00503181
0.00562209,-0.00331342
-0.00775256,0.00862864
-0.00612596,0.00746678
0.00856973,-0.01030419
0.00577680,0.00370529
0.00458824,-0.01004987
0.00282088,0.00326930
-0.00342096,-0.00142611
-0.01388015,-0.00295063
-0.00070752,0.00000000
0.01119398,-0.00574185
0.00081997,0.00703383
0.01243800,-0.00805605
0.01715884,0.00088289
0.00342853,0.00189315
0.00356280,0.00269428
-0.00883224,-0.00346409
0.00598973,0.00489626
-0.01171617,0.00761599
0.00043427,0.00006410
0.01166534,0.00283638
0.01108058,-0.00710599
0.00250340,-0.00179602
0.00230022,0.00237556
-0.01329596,0.00291104
0.00676635,-0.00972114
0.00908323,0.00367838
-0.00607489,0.00011067
-0.01377852,0.01187465
-0.00631651,0.00204886
-0.00179731,-0.00163872
-0.00883538,0.00803145
0.02348765,-0.00634727
0.01025120,-0.00191204
0.00064747,-0.00095739
0.01002038,-0.00594719
0.00542412,-0.00001840
-0.00032548,0.00441353
0.00838753,0.00031973
-0.01584542,0.00977081
-0.00502048,-0.00317071
0.01320393,0.00270032
0.00540919,-0.00497126
-0.00200871,0.00199867
0.00485793,-0.00240803
0.00377374,-0.00542796
-0.01456269,-0.00091519
0.00051047,0.01011168
0.02172027,-0.00245024
0.00994267,-0.00027255
0.00103818,0.00063599
-0.00164031,0.00516377
0.00937361,-0.00489139
-0.00607789,-0.00250010
0.01219757,-0.00863951
0.00819602,-0.00598607
0.00444816,-0.00036961
-0.00659067,-0.00018481
0.00931849,0.00092381
0.00674085,-0.00750737
0.00279992,0.00213752
0.00377747,0.00629281
-0.00178711,-0.00277134
0.00505255,-0.00705538
-0.00155134,-0.00172501
-0.02595571,-0.00538050
-0.01740544,0.01163218
0.02980861,-0.00347448
-0.00020265,0.00514249
0.00552193,-0.00424019
0.02401676,0.00361962
-0.00625257,0.00148128
0.01454279,0.00073973
0.00046625,0.00910979
0.00041050,-0.00449850
0.00984461,-0.00043253
0.00410387,-0.00207335
0.00113321,-0.00143081
-0.00204070,0.00689512
-0.00288797,0.00172323
0.01597472,0.00210427
0.00361631,0.00118734
0.00223702,0.00075734
0.00253947,0.00097553
-0.01422170,0.01012716
-0.00401084,-0.00567202
0.01755467,-0.00208871
0.00747599,-0.00346054
0.00978574,-0.00328950
0.01521403,-0.00638129
0.00085647,-0.00272097
0.00091546,0.00497513
0.00457234,-0.00728680
0.00277870,-0.00138963
-0.00536076,0.00503971
0.00671146,-0.00664475
-0.00409566,-0.00462546
0.00386553,0.00814768
-0.00916651,0.00164556
-0.00889177,0.00027711
0.00597278,0.00299687
-0.00447945,-0.00470673
0.01065363,0.00606848
0.01894488,0.00135071
0.00375490,-0.00372574
0.00580582,-0.00925936
0.00813854,0.00097626
-0.00169207,0.00643804
-0.00199640,0.00322654
-0.01634436,0.00431648
0.00557227,0.00249870
-0.01915375,0.00571529
0.00397771,-0.00304952
0.01389142,0.00268591
0.00290954,-0.00620212
0.00589530,0.00276836
0.00001140,-0.00076678
0.00294765,-0.00092259
-0.01692158,-0.00220502
0.00384174,-0.00732680
0.00831486,0.00892842
0.01419010,0.00021033
0.01951373,-0.00195853
-0.01618693,0.01144033
0.00542669,-0.00405656
-0.00785680,0.00747409
0.01116638,-0.00497651
0.01558151,-0.00290681
0.01015344,-0.00266908
0.00323834,-0.00074821
0.00680346,0.00130452
0.00261004,-0.00327815
-0.01035117,-0.00250923
0.00233862,0.01171363
0.01032891,-0.00843641
0.00975457,-0.00249813
-0.00143550,0.00507210
-0.00026951,-0.00246433
0.00347223,0.00209957
-0.00001780,0.00168564
0.00440798,-0.00050082
-0.00137581,0.00212000
-0.00597250,-0.00212000
-0.01625306,0.00775741
-0.05977508,0.00993739
0.00829775,-0.00104759
0.00032658,-0.00034041
-0.01232936,-0.00282669
-0.02044804,0.00305065
0.02175874,-0.00367989
-0.00651886,0.00612269
0.02225993,-0.00342875
0.01235124,-0.00747114
0.00568871,0.00504685
-0.02495825,0.00502160
0.00488182,-0.00400628
0.00612689,0.00080798
0.00066527,0.00429783
0.01863620,-0.00864137
0.02919976,-0.00868939
0.00138991,-0.00202931
0.00046801,-0.00033713
-0.00400697,0.00036441
-0.00123094,0.00709812
-0.00092670,0.00018087
0.02133652,-0.00375085
0.00151254,-0.00179889
0.01463548,0.00122687
0.00603459,-0.00724659
0.00077827,0.00588330
0.00885585,-0.00224883
-0.00394127,0.00245801
-0.00805832,0.00154459
0.01114783,-0.00234503
0.00523000,-0.00437760
-0.00146469,0.00264710
-0.00403489,0.00102956
-0.00133441,-0.00084727
0.00184310,-0.00173319
0.00734881,-0.00146184
-0.00803119,0.00219200
-0.00167980,0.00132197
-0.00339150,-0.00434635
-0.00345150,0.00183761
0.00102973,-0.00650633
-0.01289108,0.00855940
0.00903625,-0.00556669
0.01670960,0.00006420
0.00873067,-0.00711027
-0.00793708,-0.00052632
-0.00688035,0.00098778
0.01411685,-0.00485591
-0.01136739,0.00539085
0.01356284,-0.00729329
-0.00977591,-0.00148747
-0.00493112,0.00494643
0.02406140,-0.00279041
0.00450905,0.00350296
0.00647445,-0.00324307
0.00105533,-0.00143956
0.00304075,0.00320135
0.00219191,-0.00050038
-0.01735948,0.00378389
0.01184280,-0.00950996
0.00741284,0.00446465
-0.00856267,0.00331700
0.02305760,-0.00722251
0.00060405,0.00069860
0.01728471,-0.00742944
0.00467847,0.00936413
0.00544281,0.00405265
-0.01843968,0.00403620
-0.01582025,0.00984206
0.00900579,-0.00219300
0.01159064,-0.00114407
-0.00708838,0.00670850
0.00867730,-0.00690083
0.00718865,-0.00444314
0.00046327,-0.00590572
0.00277244,-0.00252059
-0.00476579,-0.00411878
-0.01616712,0.01013163
0.00883796,-0.00423297
-0.00594207,-0.00046321
-0.01100296,0.00453010
-0.01777263,0.00073770
0.00193342,-0.00318510
0.00888868,-0.00152685
0.00230790,-0.00120470
0.00861860,-0.00269257
0.02194475,0.00091079
0.00260577,-0.00165478
-0.00073939,0.00390007
0.00724608,-0.00129834
-0.01003386,-0.00190420
-0.01081708,0.00891373
0.00544305,-0.00483108
0.01074626,-0.00436163
0.00387981,0.00060435
-0.00373011,0.00000000
-0.00892803,-0.00111598
-0.00289358,-0.00202120
0.00824242,0.00183510
-0.00711786,0.00390116
0.00767071,-0.00418042
-0.02220028,0.00839882
-0.01146395,0.00289453
-0.03623727,0.00852390
0.00792179,0.00437122
0.02177237,-0.01059663
-0.00783039,0.00900518
-0.02013940,-0.00397605
0.01146350,-0.00001830
-0.02407582,0.00130587
0.00167902,-0.00119625
0.01728781,0.00017364
